0.14987; 229.55970, -175.30570, -70.32063, 4.56177, 53.15893, -0.79274, -0.01915; -0.03663, 1.00000
0.16712; 233.40203, -175.80270, -74.13068, 4.60171, 54.01629, -0.75705, -0.00707; -0.04031, 0.09827
0.16543; 237.23744, -176.13540, -77.95164, 4.64759, 53.31805, -0.88210, -0.04534; -0.04031, 0.09827
0.16236; 240.93741, -176.28410, -81.64862, 4.69629, 50.24583, -0.78439, -0.01556; -0.04484, 0.00000
0.16334; 244.39647, -176.25390, -85.10755, 4.74540, 46.91496, -0.78477, 0.00502; -0.04271, 0.57419
0.17379; 248.08003, -176.02940, -88.78426, 4.79858, 45.80719, -0.85095, 0.01959; -0.04271, 0.57419
0.16734; 251.81563, -175.60050, -92.49515, 4.85178, 47.00905, -0.98036, -0.01569; -0.03574, 1.00000
0.16645; 255.22395, -175.04300, -95.85757, 4.89809, 48.15522, -0.98709, 0.00772; -0.03621, 1.00000
0.16577; 258.71345, -174.31610, -99.27052, 4.94399, 49.28234, -1.05492, 0.01911; -0.03621, 1.00000
0.16803; 262.73436, -173.28850, -103.15790, 4.99623, 50.52582, -1.08705, 0.02030; -0.03782, 1.00000
0.16807; 266.39167, -172.18070, -106.64340, 5.04375, 51.60717, -1.19031, 0.02354; -0.04042, 0.84928
0.16402; 270.11438, -170.88380, -110.13290, 5.09368, 52.39006, -1.28840, 0.01924; -0.04042, 0.84928
0.16775; 274.37828, -169.18160, -114.04230, 5.15434, 53.50847, -1.36377, 0.01114; -0.04749, 1.00000
0.16701; 278.24623, -167.42900, -117.49040, 5.21327, 54.53139, -1.43894, -0.01338; -0.05122, 1.00000
0.17059; 282.68398, -165.16400, -121.30660, 5.28637, 55.66586, -1.38306, -0.01022; -0.05417, 1.00000
0.16160; 286.70419, -162.87120, -124.60890, 5.35696, 56.64658, -1.24729, 0.02386; -0.05401, 1.00000
0.16674; 290.79406, -160.30500, -127.79350, 5.43162, 57.61755, -1.32405, 0.02190; -0.05045, 1.00000
0.16662; 294.95255, -157.46450, -130.83070, 5.50735, 58.56560, -1.45484, 0.00287; -0.05045, 1.00000
0.16744; 299.71131, -153.95380, -134.04330, 5.59102, 59.62481, -1.45630, 0.01438; -0.04134, 1.00000
0.17101; 304.01220, -150.57100, -136.69930, 5.66173, 60.54333, -1.49337, 0.02430; -0.03405, 1.00000
0.16380; 308.37873, -146.96590, -139.16300, 5.72655, 61.45811, -1.56167, 0.03115; -0.02746, 1.00000
0.16569; 313.36832, -142.67630, -141.71160, 5.79054, 62.46459, -1.66917, 0.02117; -0.02168, 1.00000
0.15141; 317.30521, -139.19080, -143.54200, 5.83368, 63.24196, -1.70346, 0.02214; -0.02168, 1.00000
0.16749; 322.43767, -134.54320, -145.71960, 5.88072, 64.22112, -1.73942, 0.01743; -0.01459, 1.00000
0.16391; 327.06553, -130.27520, -147.50880, 5.91585, 65.08385, -1.72748, 0.01004; -0.01347, 1.00000
0.16628; 331.75452, -125.89230, -149.17520, 5.94640, 65.92654, -1.82690, -0.03758; -0.01403, 1.00000
0.18646; 337.69995, -120.26690, -151.09950, 5.98111, 66.97019, -1.53610, -0.03861; -0.01289, 0.04656
0.15115; 341.86518, -116.28810, -152.33170, 6.00364, 66.18022, -1.33004, -0.03991; -0.01941, 1.00000
0.16035; 346.62529, -111.70620, -153.62200, 6.03093, 66.91089, -1.09818, -0.03877; -0.02094, 1.00000
0.16638; 351.44387, -107.03050, -154.78670, 6.06173, 67.72384, -0.99641, -0.05143; -0.02094, 1.00000
0.17216; 356.91255, -101.68130, -155.92360, 6.09959, 68.03960, -0.71657, -0.03629; -0.02284, 0.35612
0.17530; 362.36567, -96.30730, -156.84910, 6.13972, 67.52538, -0.52833, -0.01799; -0.02064, 0.16913
0.13999; 366.56718, -92.14423, -157.41620, 6.17074, 66.83923, -0.49298, 0.00941; -0.01658, 0.31416
0.16877; 371.32658, -87.41046, -157.90940, 6.20376, 66.32490, -0.52243, 0.01946; -0.01165, 0.66207
0.16440; 376.07536, -82.67442, -158.25710, 6.23249, 66.47130, -0.59065, 0.02665; -0.01165, 0.66207
0.16707; 381.45372, -77.30168, -158.50280, 6.25871, 67.20714, -0.69689, 0.02991; -0.00322, 1.00000
0.16507; 386.29338, -72.46339, -158.61790, 6.27606, 68.01936, -0.61484, 0.04425; -0.00017, 1.00000
0.16792; 391.19096, -67.56599, -158.66040, 0.00468, 68.82377, -0.77092, 0.03467; -0.00017, 1.00000
0.16772; 396.76686, -61.99010, -158.64890, 0.01228, 69.66065, -0.88513, 0.01958; 0.00161, 0.88319
0.14939; 401.14463, -57.61248, -158.61260, 0.01523, 70.15708, -0.91632, 0.00588; -0.00053, 0.68097
0.16252; 406.17071, -52.58677, -158.55160, 0.01749, 70.33932, -0.88465, -0.00973; -0.00053, 0.68097
0.17135; 411.82443, -46.93379, -158.46030, 0.02077, 70.14867, -0.76859, -0.02498; -0.00689, 0.27791
0.16671; 416.81828, -41.94110, -158.35260, 0.02617, 69.52586, -0.76625, -0.07181; -0.00689, 0.27791
0.16726; 422.37250, -36.38942, -158.18480, 0.03730, 68.56770, -0.37849, -0.06439; -0.01617, 0.04051
0.16665; 427.23464, -31.53205, -157.96950, 0.05268, 67.51781, -0.09115, -0.05217; -0.01788, 0.18687
0.16690; 432.03214, -26.74368, -157.67360, 0.07275, 66.74465, 0.12318, -0.03511; -0.01788, 0.18687
0.16092; 436.78804, -22.00407, -157.28030, 0.09609, 66.34922, 0.15475, -0.04952; -0.01727, 0.40644
0.17405; 442.12434, -16.69833, -156.71000, 0.12338, 66.33997, 0.33904, -0.01457; -0.01183, 0.86702
0.16546; 446.89059, -11.97308, -156.08620, 0.14656, 66.88604, 0.35636, 0.01441; -0.01183, 0.86702
0.14886; 451.69642, -7.22239, -155.36030, 0.16584, 67.42149, 0.25042, 0.03854; 0.00337, 0.67854
0.16913; 456.52795, -2.45743, -154.56100, 0.17754, 67.63603, 0.05235, 0.05413; 0.01075, 0.51696
0.16361; 461.96577, 2.89915, -153.62460, 0.17968, 67.51998, -0.36787, 0.02479; 0.01650, 0.46333
0.17228; 466.78670, 7.65013, -152.80630, 0.17172, 67.30537, -0.47230, 0.02851; 0.01650, 0.46333
0.16062; 471.58379, 12.38581, -152.04120, 0.15614, 66.84851, -0.57621, 0.02243; 0.01861, 0.43412
0.15180; 476.35359, 17.10641, -151.35790, 0.13511, 66.56996, -0.64077, 0.00886; 0.01604, 0.63079
0.16798; 481.11841, 21.83494, -150.77090, 0.11155, 66.66750, -0.63957, -0.00918; 0.01075, 0.76575
0.16477; 485.90102, 26.59244, -150.28150, 0.08895, 67.02866, -0.61167, -0.06588; 0.01075, 0.76575
0.16222; 491.31189, 31.98478, -149.83410, 0.06878, 67.41108, -0.25930, -0.07192; -0.00778, 0.45810
0.15718; 495.52542, 36.18787, -149.53760, 0.06071, 67.24072, 0.02059, -0.07189; -0.00778, 0.45810
0.16491; 500.90522, 41.55530, -149.17300, 0.06321, 66.48405, 0.35022, -0.06314; -0.02301, 0.00000
