0.12772; 191.82559, -165.39130, -34.02129, 4.33648, 62.62545, -0.45054, -0.00753; -0.01653, 0.25528
0.12711; 195.16750, -166.60270, -37.13591, 4.35612, 62.03084, -0.43605, 0.00620; -0.01693, 0.08676
0.12514; 199.02053, -167.92340, -40.75553, 4.37867, 61.20496, -0.46838, 0.01757; -0.01593, 0.07563
0.12495; 202.28321, -168.97790, -43.84310, 4.39751, 60.55097, -0.62903, -0.01632; -0.01593, 0.07563
0.12285; 205.51560, -169.96510, -46.92105, 4.41597, 60.07596, -0.59198, -0.00123; -0.01589, 0.22374
0.12165; 208.72378, -170.88710, -49.99389, 4.43464, 59.60258, -0.60117, 0.00893; -0.01811, 0.17753
0.13037; 212.43146, -171.87800, -53.56670, 4.45711, 58.96229, -0.64771, 0.01589; -0.01997, 0.11697
0.12806; 215.57680, -172.65300, -56.61507, 4.47705, 58.40015, -0.70286, 0.01844; -0.01997, 0.11697
0.12207; 218.69457, -173.35860, -59.65195, 4.49787, 57.93654, -0.76137, 0.01862; -0.02177, 0.19843
0.12199; 221.79199, -173.99370, -62.68356, 4.51995, 57.62155, -0.81666, 0.01722; -0.02372, 0.30146
0.12744; 225.38993, -174.64220, -66.22257, 4.54782, 57.40896, -0.87172, 0.01451; -0.02856, 0.42051
0.12422; 228.46609, -175.11360, -69.26240, 4.57388, 57.30109, -0.84231, 0.00017; -0.02856, 0.42051
0.12586; 231.53634, -175.50100, -72.30811, 4.60219, 57.18626, -0.85499, 0.00812; -0.03163, 0.41232
0.12424; 234.54400, -175.79360, -75.30150, 4.63220, 54.97301, -0.88785, 0.01305; -0.03337, 0.00000
0.13560; 237.87617, -176.00920, -78.62669, 4.66777, 51.95838, -1.02281, -0.02649; -0.03627, 0.06314
0.11851; 240.57969, -176.09340, -81.32890, 4.69815, 49.73902, -0.97509, -0.01131; -0.03627, 0.06314
0.13188; 243.69480, -176.08240, -84.44399, 4.73484, 49.91533, -0.96955, 0.00057; -0.03718, 1.00000
0.12486; 246.39753, -175.97600, -87.14462, 4.76819, 50.72540, -0.99135, 0.00736; -0.03718, 1.00000
0.12682; 249.14401, -175.77360, -89.88363, 4.80318, 51.53774, -1.02695, 0.01161; -0.03847, 1.00000
0.12825; 252.40276, -175.40710, -93.12171, 4.84622, 52.47186, -1.07247, -0.02574; -0.04143, 1.00000
0.12152; 255.24218, -174.97300, -95.92775, 4.88515, 53.26155, -1.03958, -0.00617; -0.04143, 1.00000
0.12242; 258.04878, -174.43700, -98.68269, 4.92486, 51.25291, -1.05300, 0.00674; -0.04345, 0.00000
0.12957; 260.71878, -173.82580, -101.28180, 4.96369, 48.72785, -1.03060, 0.00499; -0.04412, 0.00000
0.12978; 263.67448, -173.03020, -104.12840, 5.00680, 46.79145, -1.08209, 0.01977; -0.04303, 0.42816
0.12857; 266.20338, -172.25110, -106.53430, 5.04314, 47.49437, -1.15591, 0.02462; -0.04105, 0.99440
0.12681; 269.21130, -171.21190, -109.35700, 5.08577, 48.48698, -1.24852, 0.02409; -0.04028, 1.00000
0.12515; 271.83867, -170.20700, -111.78460, 5.12301, 49.33118, -1.31888, 0.02026; -0.04028, 1.00000
0.12368; 274.51083, -169.09260, -114.21330, 5.16142, 50.15796, -1.37382, 0.01484; -0.04259, 1.00000
0.12646; 277.22676, -167.86390, -116.63540, 5.20162, 50.97226, -1.47345, -0.01058; -0.04494, 1.00000
0.12747; 280.45020, -166.27830, -119.44190, 5.25147, 51.91160, -1.44296, -0.01044; -0.05037, 1.00000
0.13483; 283.25956, -164.78100, -121.81900, 5.29725, 52.70352, -1.41692, -0.00965; -0.05037, 1.00000
0.13742; 286.59009, -162.86540, -124.54350, 5.35376, 53.61086, -1.28992, 0.02171; -0.05167, 1.00000
0.12622; 289.97690, -160.76280, -127.19860, 5.41306, 54.50957, -1.35078, 0.01727; -0.04916, 1.00000
0.12697; 292.92461, -158.80970, -129.40640, 5.46482, 55.26780, -1.38890, 0.01574; -0.04916, 1.00000
0.12654; 295.91245, -156.71970, -131.54160, 5.51636, 56.01518, -1.46371, -0.00377; -0.04683, 1.00000
0.12636; 299.44869, -154.11320, -133.93140, 5.57564, 56.88198, -1.43897, 0.00221; -0.04155, 1.00000
0.12990; 302.52269, -151.74040, -135.88570, 5.62500, 57.60722, -1.42929, 0.00755; -0.04155, 1.00000
0.12647; 305.63535, -149.24690, -137.74880, 5.67232, 58.32807, -1.43173, 0.01230; -0.03732, 1.00000
0.13097; 309.31564, -146.19500, -139.80560, 5.72441, 59.16780, -1.44824, 0.01640; -0.02989, 1.00000
0.12975; 313.04761, -143.00150, -141.73670, 5.77237, 59.98560, -1.48737, 0.00644; -0.02600, 1.00000
0.12377; 316.28708, -140.16140, -143.29490, 5.81013, 60.68311, -1.47848, 0.00911; -0.02298, 1.00000
0.12745; 319.56395, -137.23390, -144.76720, 5.84475, 61.37341, -1.47362, 0.00984; -0.02298, 1.00000
0.13068; 323.43303, -133.71750, -146.38110, 5.88149, 62.16100, -1.44343, 0.01124; -0.01909, 1.00000
0.12710; 326.78873, -130.62350, -147.68030, 5.91039, 62.83755, -1.43955, 0.00720; -0.01909, 1.00000
0.12106; 330.18033, -127.46070, -148.90490, 5.93723, 63.49787, -1.41994, 0.00273; -0.01778, 1.00000
0.12362; 333.60706, -124.23370, -150.05770, 5.96242, 64.15143, -1.46086, -0.03304; -0.01737, 1.00000
0.13136; 337.64925, -120.39170, -151.31400, 5.99056, 64.91205, -1.29550, -0.02898; -0.01867, 1.00000
0.12129; 341.15119, -117.03560, -152.31410, 6.01435, 65.54615, -1.16710, -0.02528; -0.01867, 1.00000
0.12036; 344.68715, -113.62340, -153.24140, 6.03836, 66.17868, -1.05298, -0.02088; -0.01856, 1.00000
0.12238; 348.25677, -110.15680, -154.09280, 6.06235, 66.80137, -0.95628, -0.01604; -0.01823, 1.00000
0.12591; 351.85945, -106.63840, -154.86750, 6.08613, 67.41601, -0.98184, -0.02893; -0.01753, 1.00000
